"Source","Target","Weight"
16,0,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,11,1
16,12,1
16,13,1
16,14,1
16,15,1
0,16,1
0,1,1
0,2,1
0,3,1
0,4,2
0,17,1
0,5,1
0,6,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,7,1
0,23,1
0,8,1
0,9,2
0,24,1
0,25,1
0,26,1
0,10,1
0,27,1
0,28,1
0,29,1
0,30,1
0,11,1
0,31,1
0,12,2
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,13,1
0,37,1
0,14,2
0,15,2
0,38,1
0,39,1
57,40,1
57,2,1
57,4,1
57,17,1
57,41,1
57,42,1
57,18,1
57,19,1
57,20,1
57,43,1
57,44,1
57,45,1
57,23,1
57,24,1
57,46,1
57,47,1
57,48,1
57,49,1
57,50,1
57,51,1
57,52,1
57,53,1
57,54,1
57,34,1
57,55,1
57,56,1
40,57,1
40,2,1
40,4,1
40,17,1
40,41,1
40,42,1
40,18,1
40,19,1
40,20,1
40,43,1
40,44,1
40,45,1
40,23,1
40,24,1
40,46,1
40,47,1
40,48,1
40,49,1
40,50,1
40,51,1
40,52,1
40,53,1
40,54,1
40,34,1
40,55,1
40,56,1
77,58,1
77,2,1
77,59,1
77,60,1
77,4,1
77,61,1
77,62,1
77,63,1
77,64,1
77,65,1
77,66,1
77,67,1
77,10,1
77,68,1
77,12,1
77,69,1
77,70,1
99,4,1
99,71,1
99,72,1
99,9,1
99,10,1
99,68,1
99,73,1
99,74,1
99,75,1
99,69,1
99,76,1
1,16,1
1,0,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
58,77,1
58,2,1
58,59,1
58,60,1
58,4,1
58,61,1
58,62,1
58,63,1
58,64,1
58,65,1
58,66,1
58,67,1
58,10,1
58,68,1
58,12,1
58,69,1
58,70,1
98,78,1
98,79,1
98,80,1
98,81,1
98,10,1
98,68,1
98,82,1
98,83,1
98,12,1
98,84,1
98,85,1
98,86,1
2,16,1
2,0,1
2,57,1
2,40,1
2,77,1
2,1,1
2,58,1
2,87,1
2,59,1
2,3,1
2,60,1
2,4,4
2,17,1
2,41,1
2,88,1
2,5,1
2,89,1
2,42,1
2,6,1
2,61,1
2,18,1
2,19,1
2,20,1
2,43,1
2,44,1
2,62,1
2,63,1
2,45,1
2,7,1
2,64,1
2,23,1
2,65,1
2,8,1
2,90,1
2,66,1
2,9,1
2,24,2
2,67,1
2,46,1
2,47,1
2,48,1
2,10,2
2,49,1
2,50,1
2,68,1
2,51,1
2,91,1
2,92,1
2,11,1
2,93,1
2,52,1
2,94,1
2,12,3
2,95,1
2,96,1
2,53,1
2,54,1
2,97,1
2,69,2
2,70,1
2,34,1
2,13,1
2,14,1
2,15,2
2,38,1
2,55,1
2,56,1
78,98,1
78,79,1
78,80,1
78,81,1
78,10,1
78,68,1
78,82,1
78,83,1
78,12,1
78,84,1
78,85,1
78,86,1
87,2,1
87,4,1
87,88,1
87,89,1
87,90,1
87,24,1
87,91,1
87,92,1
87,93,1
87,94,1
87,12,1
87,95,1
87,96,1
87,97,1
87,69,1
87,15,1
87,38,1
59,77,1
59,58,1
59,2,1
59,60,1
59,4,1
59,61,1
59,62,1
59,63,1
59,64,1
59,65,1
59,66,1
59,67,1
59,10,1
59,68,1
59,12,1
59,69,1
59,70,1
3,16,1
3,0,1
3,1,1
3,2,1
3,4,1
3,5,1
3,6,1
