"NodeID","Actor"
0,"Adrien Brody"
1,"Amara Karan"
2,"Anjelica Huston"
3,"Barbet Schroeder"
4,"Bill Murray"
5,"Camilla Rutherford"
6,"Dalpat Singh"
7,"Gurdeep Singh"
8,"Irrfan Khan"
9,"Jason Schwartzman"
10,"Kumar Pallana"
11,"Natalie Portman"
12,"Owen Wilson"
13,"Trudy Matthys"
14,"Wallace Wolodarsky"
15,"Waris Ahluwalia"
16,"A.P. Singh"
17,"Bob Balaban"
18,"Edward Norton"
19,"F. Murray Abraham"
20,"Fisher Stevens"
21,"Florian Luk"
22,"Giselda Volodi"
23,"Harvey Keitel"
24,"Jeff Goldblum"
25,"Jude Law"
26,"Karl Markovics"
27,"Larry Pine"
28,"Lea Seydoux"
29,"Mathieu Amalric"
30,"Milton Welsh"
31,"Neal Huff"
32,"Ralph Fiennes"
33,"Saoirse Ronan"
34,"Tilda Swinton"
35,"Tom Wilkinson"
36,"Tony Revolori"
37,"Volker Michalowski(de)"
38,"Willem Dafoe"
39,"Wolfram Nielacny"
40,"Akira Takayama"
41,"Bryan Cranston"
42,"Courtney B. Vance"
43,"Frances McDormand"
44,"Frank Wood"
45,"Greta Gerwig"
46,"Kara Hayward"
47,"Ken Watanabe"
48,"Koyu Rankin"
49,"Kunichi Nomura"
50,"Liev Schreiber"
51,"Mari Natsuki"
52,"Nijiro Murakami"
53,"Roman Coppola"
54,"Scarlett Johansson"
55,"Yojiro Noda"
56,"Yoko Ono"
57,"Akira Ito"
58,"Amedeo Turturro"
59,"Aram Aslanian-Persico"
60,"Ben Stiller"
61,"Danny Glover"
62,"Gene Hackman"
63,"Grant Rosenmeyer"
64,"Gwyneth Paltrow"
65,"Irene Gorovaia"
66,"James Fitzgerald"
67,"Jonah Meyerson"
68,"Luke Wilson"
69,"Seymour Cassel"
70,"Stephen Lea Sheppard"
71,"Brian Cox"
72,"Connie Nielsen"
73,"Mason Gamble"
74,"Olivia Williams"
75,"Sara Tanaka"
76,"Stephen McCole"
77,"Alec Baldwin"
78,"Anna Cifuentes"
79,"Brian Tenenbaum"
80,"Haley Miller"
81,"James Caan"
82,"Lumi Cavazos"
83,"Ned Dowd"
84,"Robert Musgrave"
85,"Shea Fowler"
86,"Stephen Dignan"
87,"Antonio Monda"
88,"Bud Cort"
89,"Cate Blanchett"
90,"Isabella Blow"
91,"Matthew Gray Gubler"
92,"Michael Gambon"
93,"Niels Koizumi"
94,"Noah Taylor"
95,"Pawel Wdowczak"
96,"Robyn Cohen"
97,"Seu Jorge"
98,"Andrew Wilson"
99,"Alexis Bledel"
100,"Bruce Willis"
101,"Eric Anderson"
102,"George Clooney"
103,"Helen McCrory"
104,"Hugo Guinness"
105,"Jared Gilman"
106,"Jarvis Cocker"
107,"Juman Malouf"
108,"Meryl Streep"
109,"Robin Hurlstone"
110,"Wes Anderson"
